"ItemName","itmId","ItmName","Name","Units","itmDateAdded","itmCode"
"","1","Fruit Cake Large  - pcs","Fruit Cake Large ","pcs       ","2015-12-01T00:00:00","PR1"
"","2","Fruit Cake Small  - pcs","Fruit Cake Small ","pcs","2015-12-01T00:00:00","PR2"
"","3","Veg Pizza Wrap - pcs","Veg Pizza Wrap","pcs       ","2015-12-01T00:00:00","PR3"
"","4","Chiken Pizza Wrap - pcs","Chiken Pizza Wrap","pcs","2015-12-01T00:00:00","PR4"
"","5","Chocolate Danish - pcs","Chocolate Danish","pcs","2015-12-01T00:00:00","PR5"
"","6","Redvelvet Muffin - pcs","Redvelvet Muffin","pcs","2015-12-01T00:00:00","PR6"
"","7","Sugar Doughnut  - pcs","Sugar Doughnut ","pcs       ","2015-12-01T00:00:00","PR7"
"","8","Sacher  - pcs","Sacher ","pcs","2015-12-01T00:00:00","PR8"
"","9","Tiramisu - pcs","Tiramisu","pcs","2015-12-01T00:00:00","PR9"
"","10","Trittle Push Pop - pcs","Trittle Push Pop","pcs","2015-12-01T00:00:00","PR10"
"","11","Black Spongy Twittle  - pcs","Black Spongy Twittle ","pcs","2015-12-01T00:00:00","PR11"
"","12","White Spongy Twittle  - pcs","White Spongy Twittle ","pcs       ","2015-12-01T00:00:00","PR12"
"","13","Chocolate Lollypop - pcs","Chocolate Lollypop","pcs","2015-12-01T00:00:00","PR13"
"","14","Coffee Paraline - pcs","Coffee Paraline","pcs       ","2015-12-01T00:00:00","PR14"
"","15","Orange Paraline  - pcs","Orange Paraline ","pcs       ","2015-12-01T00:00:00","PR15"
"","16","Butter Stoch - pcs","Butter Stoch","pcs","2015-12-01T00:00:00","PR16"
"","17","White Chocolate Fudge - pcs","White Chocolate Fudge","pcs","2015-12-01T00:00:00","PR17"
"","18","Almond Rocher  - pcs","Almond Rocher ","pcs","2015-12-01T00:00:00","PR18"
"","19","Florient Cookies - pcs","Florient Cookies","pcs       ","2015-12-01T00:00:00","PR19"
"","20","Almond Rocher - pcs","Almond Rocher","pcs","2015-12-01T00:00:00","PR20"
"","21","Almond Truffle - pcs","Almond Truffle","pcs","2015-12-01T00:00:00","PR21"
"","22","Apple Almond Flan - pcs","Apple Almond Flan","pcs","2015-12-01T00:00:00","PR22"
"","23","Apple Crumble - pcs","Apple Crumble","pcs","2015-12-01T00:00:00","PR23"
"","24","Apple Pie - pcs","Apple Pie","pcs","2015-12-01T00:00:00","PR24"
"","25","Banana Bread Big - pcs","Banana Bread Big","pcs","2015-12-01T00:00:00","PR25"
"","26","Banana Bread Small - pcs","Banana Bread Small","pcs","2015-12-01T00:00:00","PR26"
"","27","Banana Muffin - pcs","Banana Muffin","pcs","2015-12-01T00:00:00","PR27"
"","28","Black Spongy Truffle - pcs","Black Spongy Truffle","pcs","2015-12-01T00:00:00","PR28"
"","29","Bread Crumb - pcs","Bread Crumb","pcs","2015-12-01T00:00:00","PR29"
"","30","Bucket Bun - pcs","Bucket Bun","pcs","2015-12-01T00:00:00","PR30"
"","31","Butter Scotch - pcs","Butter Scotch","pcs","2015-12-01T00:00:00","PR31"
"","32","Caramel Tart - pcs","Caramel Tart","pcs","2015-12-01T00:00:00","PR32"
"","33","Cashenut Cookies - pcs","Cashenut Cookies","pcs       ","2015-12-01T00:00:00","PR33"
"","34","Cheese Bread - pcs","Cheese Bread","pcs","2015-12-01T00:00:00","PR34"
"","35","Cheese Cookies - pcs","Cheese Cookies","pcs","2015-12-01T00:00:00","PR35"
"","36","Cheese Croissant - pcs","Cheese Croissant","pcs","2015-12-01T00:00:00","PR36"
"","37","Cheese Straw Cookies - pcs","Cheese Straw Cookies","pcs","2015-12-01T00:00:00","PR37"
"","38","Chicken Bun - pcs","Chicken Bun","pcs","2015-12-01T00:00:00","PR38"
"","39","Chicken Hot Dog - pcs","Chicken Hot Dog","pcs","2015-12-01T00:00:00","PR39"
"","40","Chicken Patty - pcs","Chicken Patty","pcs       ","2015-12-01T00:00:00","PR40"
"","41","Chicken Pizza Wrap - pcs","Chicken Pizza Wrap","pcs       ","2015-12-01T00:00:00","PR41"
"","42","Chicken Roll - pcs","Chicken Roll","pcs","2015-12-01T00:00:00","PR42"
"","43","Chicken Sandwich Brown - pcs","Chicken Sandwich Brown","pcs","2015-12-01T00:00:00","PR43"
"","44","Chicken Sandwich White - pcs","Chicken Sandwich White","pcs","2015-12-01T00:00:00","PR44"
"","45","Chocolate Chips Cookies - pcs","Chocolate Chips Cookies","pcs","2015-12-01T00:00:00","PR45"
